,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched
342,Brian,Mast,Brian J. Mast,rep,FL,18.0,Republican,repbrianmast,Congressman Brian Mast,100044157383419,no match,missing
343,A.,Ferguson,A. Drew Ferguson IV,rep,GA,3.0,Republican,RepDrewFerguson,Congressman Drew Ferguson,100044629290307,no match,missing
344,Raja,Krishnamoorthi,Raja Krishnamoorthi,rep,IL,8.0,Democrat,congressmanraja,,0,1844412109137727,missing
357,Thomas,Suozzi,Thomas R. Suozzi,rep,NY,3.0,Democrat,RepTomSuozzi,,0,no match,missing
359,Brian,Fitzpatrick,Brian K. Fitzpatrick,rep,PA,1.0,Republican,repbrianfitzpatrick,,0,no match,missing
361,Jenniffer,González-Colón,Jenniffer González-Colón,rep,PR,0.0,Republican,RepJennifferGonzalezColon,,0,no match,missing
364,Jodey,Arrington,Jodey C. Arrington,rep,TX,19.0,Republican,JodeyArrington,,0,no match,missing
372,John,Curtis,John R. Curtis,rep,UT,3.0,Republican,RepJohnCurtis,,0,no match,missing
380,Joseph,Morelle,Joseph D. Morelle,rep,NY,25.0,Democrat,,,0,no match,missing
394,W.,Steube,W. Gregory Steube,rep,FL,17.0,Republican,,,0,no match,missing
396,Michael,San Nicolas,Michael F. Q. San Nicolas,rep,GU,0.0,Democrat,CongressmanMichaelF.Q.SanNicolas,Congressman Michael F.Q. San Nicolas - Guam,100057709434580,no match,missing
397,Cynthia,Axne,Cynthia Axne,rep,IA,3.0,Democrat,,,0,no match,missing
399,Jesús,García,"Jesús G. ""Chuy"" García",rep,IL,4.0,Democrat,,,0,no match,missing
402,James,Baird,James R. Baird,rep,IN,4.0,Republican,,,0,no match,missing
407,David,Trone,David J. Trone,rep,MD,6.0,Democrat,,,0,no match,missing
410,Haley,Stevens,Haley M. Stevens,rep,MI,11.0,Democrat,,,0,no match,missing
420,Jefferson,Van Drew,Jefferson Van Drew,rep,NJ,2.0,Republican,,,0,no match,missing
428,Madeleine,Dean,Madeleine Dean,rep,PA,4.0,Democrat,,,0,143909879708775,missing
430,Daniel,Meuser,Daniel Meuser,rep,PA,9.0,Republican,,,0,no match,missing
431,John,Joyce,John Joyce,rep,PA,13.0,Republican,,,0,1054570378014827,missing
433,William,Timmons,William R. Timmons IV,rep,SC,4.0,Republican,,,0,no match,missing
437,Mark,Green,Mark E. Green,rep,TN,7.0,Republican,,,0,no match,missing
444,Sylvia,Garcia,Sylvia R. Garcia,rep,TX,29.0,Democrat,,,0,no match,missing
445,Colin,Allred,Colin Z. Allred,rep,TX,32.0,Democrat,,,0,no match,missing
446,Elaine,Luria,Elaine G. Luria,rep,VA,2.0,Democrat,,,0,no match,missing
448,Abigail,Spanberger,Abigail Davis Spanberger,rep,VA,7.0,Democrat,,,0,no match,missing
450,Kim,Schrier,Kim Schrier,rep,WA,8.0,Democrat,,,0,1354622541311687,missing
452,Carol,Miller,Carol D. Miller,rep,WV,3.0,Republican,,,0,no match,missing
457,Jared,Golden,Jared F. Golden,rep,ME,2.0,Democrat,,,0,no match,missing
460,Gregory,Murphy,Gregory F. Murphy,rep,NC,3.0,Republican,RepGregMurphy,,0,no match,missing
462,Thomas,Tiffany,Thomas P. Tiffany,rep,WI,7.0,Republican,,,0,no match,missing
466,Cynthia,Lummis,Cynthia M. Lummis,sen,WY,,Republican,,,0,no match,missing
473,Jerry,Carl,Jerry L. Carl,rep,AL,1.0,Republican,,,0,no match,missing
481,C.,Franklin,C. Scott Franklin,rep,FL,15.0,Republican,,,0,no match,missing
487,Andrew,Clyde,Andrew S. Clyde,rep,GA,9.0,Republican,,,0,no match,missing
488,Marjorie,Greene,Marjorie Taylor Greene,rep,GA,14.0,Republican,,,0,1809715209318581,missing
489,Kaialiʻi,Kahele,Kaiali’i Kahele,rep,HI,2.0,Democrat,,,0,no match,missing
494,Mary,Miller,Mary E. Miller,rep,IL,15.0,Republican,,,0,no match,missing
495,Frank,Mrvan,Frank J. Mrvan,rep,IN,1.0,Democrat,,,0,no match,missing
501,Lisa,McClain,Lisa C. McClain,rep,MI,10.0,Republican,,,0,no match,missing
504,Matthew,Rosendale,Matthew M. Rosendale,rep,MT,0.0,Republican,,,0,no match,missing
505,Deborah,Ross,Deborah K. Ross,rep,NC,2.0,Democrat,,,0,no match,missing
506,Kathy,Manning,Kathy E. Manning,rep,NC,6.0,Democrat,,,0,no match,missing
510,Andrew,Garbarino,Andrew R. Garbarino,rep,NY,2.0,Republican,,,0,197834643693711,missing
515,Stephanie,Bice,Stephanie I. Bice,rep,OK,5.0,Republican,,,0,no match,missing
525,Blake,Moore,Blake D. Moore,rep,UT,1.0,Republican,,,0,no match,missing
532,Raphael,Warnock,Raphael G. Warnock,sen,GA,,Democrat,,,0,no match,missing
536,Melanie,Stansbury,Melanie A. Stansbury,rep,NM,1.0,Democrat,,,0,no match,missing
