,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
30,30,Karen,Bass,Karen Bass,rep,CA,37.0,Democrat,RepKarenBass,Congressmember Karen Bass,100044594076632,47918118982,done,
31,31,Michael,Bennet,Michael F. Bennet,sen,CO,,Democrat,senbennetco,,0,no match,missing,
32,32,Gus,Bilirakis,Gus M. Bilirakis,rep,FL,12.0,Republican,GusBilirakis,Congressman Gus Bilirakis,100044423799906,no match,missing,
33,33,Sanford,Bishop,"Sanford D. Bishop, Jr.",rep,GA,2.0,Democrat,sanfordbishop,Congressman Sanford Bishop,100045124418094,no match,missing,
34,34,Marsha,Blackburn,Marsha Blackburn,sen,TN,,Republican,marshablackburn,Sen. Marsha Blackburn,100044142653727,143089732792,done,
35,35,Earl,Blumenauer,Earl Blumenauer,rep,OR,3.0,Democrat,,,0,9252726787,done,
36,36,Richard,Blumenthal,Richard Blumenthal,sen,CT,,Democrat,SenBlumenthal,,0,233344132673,done,
37,37,Roy,Blunt,Roy Blunt,sen,MO,,Republican,SenatorBlunt,Senator Roy Blunt,100044579762923,6541047167,done,
38,38,John,Boozman,John Boozman,sen,AR,,Republican,JohnBoozman,John Boozman,100044412170685,314808986017,done,
39,39,Kevin,Brady,Kevin Brady,rep,TX,8.0,Republican,kevinbrady,Rep. Kevin Brady,100044337643923,204845412960834,done,
40,40,Mo,Brooks,Mo Brooks,rep,AL,5.0,Republican,RepMoBrooks,,0,105473048278,done,
41,41,Vern,Buchanan,Vern Buchanan,rep,FL,16.0,Republican,CongressmanBuchanan,,0,105464510836,done,
42,42,Larry,Bucshon,Larry Bucshon,rep,IN,8.0,Republican,RepLarryBucshon,,0,151186089494,done,
43,43,Michael,Burgess,Michael C. Burgess,rep,TX,26.0,Republican,michaelcburgess,,0,no match,missing,
44,44,Richard,Burr,Richard Burr,sen,NC,,Republican,SenatorRichardBurr,,0,1596102157365797,done,
45,45,George,Butterfield,G. K. Butterfield,rep,NC,1.0,Democrat,congressmangkbutterfield,Congressman G. K. Butterfield,100044851851201,108864587529774,done,
46,46,Ken,Calvert,Ken Calvert,rep,CA,42.0,Republican,70063393423,Congressman Ken Calvert,100045027553955,9157920604,done,
