,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
446,446,Elaine,Luria,Elaine G. Luria,rep,VA,2.0,Democrat,,,0,no match,missing,
447,447,Ben,Cline,Ben Cline,rep,VA,6.0,Republican,,,0,48631937877,done,
448,448,Abigail,Spanberger,Abigail Davis Spanberger,rep,VA,7.0,Democrat,,,0,no match,missing,
449,449,Jennifer,Wexton,Jennifer Wexton,rep,VA,10.0,Democrat,,,0,191975737491988,done,
450,450,Kim,Schrier,Kim Schrier,rep,WA,8.0,Democrat,,,0,1354622541311687,missing,
451,451,Bryan,Steil,Bryan Steil,rep,WI,1.0,Republican,,,0,1504873886306347,done,
452,452,Carol,Miller,Carol D. Miller,rep,WV,3.0,Republican,,,0,no match,missing,
453,453,Rick,Scott,Rick Scott,sen,FL,,Republican,RickScottSenOffice,,0,370872766769375,done,
454,454,Mike,Braun,Mike Braun,sen,IN,,Republican,,,0,164203030438398,done,
455,455,Joshua,Hawley,Josh Hawley,sen,MO,,Republican,,,0,1636216106590985,done,
456,456,Mitt,Romney,Mitt Romney,sen,UT,,Republican,,,0,107512540818740,done,
457,457,Jared,Golden,Jared F. Golden,rep,ME,2.0,Democrat,,,0,no match,missing,
458,458,Fred,Keller,Fred Keller,rep,PA,12.0,Republican,CongressmanFredKeller,,0,2222844871168340,done,
459,459,Dan,Bishop,Dan Bishop,rep,NC,9.0,Republican,repdanbishop,Congressman Dan Bishop,100058212543209,708346842676287,done,
460,460,Gregory,Murphy,Gregory F. Murphy,rep,NC,3.0,Republican,RepGregMurphy,,0,no match,missing,
461,461,Kweisi,Mfume,Kweisi Mfume,rep,MD,7.0,Democrat,RepKweisiMfume,,0,110475903727400,done,
462,462,Thomas,Tiffany,Thomas P. Tiffany,rep,WI,7.0,Republican,,,0,no match,missing,
463,463,Mike,Garcia,Mike Garcia,rep,CA,25.0,Republican,RepMikeGarcia,,0,2116141045107743,done,
464,464,Chris,Jacobs,Chris Jacobs,rep,NY,27.0,Republican,,,0,1482684292028934,done,
465,465,Mark,Kelly,Mark Kelly,sen,AZ,,Democrat,SenMarkKelly,Senator Mark Kelly,100046928411353,163148530407080,done,
466,466,Cynthia,Lummis,Cynthia M. Lummis,sen,WY,,Republican,,,0,no match,missing,
467,467,Darrell,Issa,Darrell Issa,rep,CA,50.0,Republican,,,0,19463427992,done,
468,468,Pete,Sessions,Pete Sessions,rep,TX,17.0,Republican,,,0,22753043010,done,
469,469,David,Valadao,David G. Valadao,rep,CA,21.0,Republican,,,0,105596689621089,done,
470,470,Tommy,Tuberville,Tommy Tuberville,sen,AL,,Republican,,,0,2225580284361712,done,
471,471,John,Hickenlooper,John W. Hickenlooper,sen,CO,,Democrat,,,0,97493741436,done,
472,472,Bill,Hagerty,Bill Hagerty,sen,TN,,Republican,,,0,656263988182462,done,
473,473,Jerry,Carl,Jerry L. Carl,rep,AL,1.0,Republican,,,0,no match,missing,
474,474,Barry,Moore,Barry Moore,rep,AL,2.0,Republican,,,0,168857193154545,done,
475,475,Jay,Obernolte,Jay Obernolte,rep,CA,8.0,Republican,,,0,221690171353068,done,
476,476,Young,Kim,Young Kim,rep,CA,39.0,Republican,,,0,118502801658228,done,
477,477,Michelle,Steel,Michelle Steel,rep,CA,48.0,Republican,,,0,1228396643984955,done,
478,478,Sara,Jacobs,Sara Jacobs,rep,CA,53.0,Democrat,,,0,347844152343949,done,
479,479,Lauren,Boebert,Lauren Boebert,rep,CO,3.0,Republican,,,0,107698564046392,done,
480,480,Katherine,Cammack,Kat Cammack,rep,FL,3.0,Republican,,,0,103806957816376,done,
481,481,C.,Franklin,C. Scott Franklin,rep,FL,15.0,Republican,,,0,no match,missing,
482,482,Byron,Donalds,Byron Donalds,rep,FL,19.0,Republican,,,0,154269528015922,done,
483,483,Carlos,Gimenez,Carlos A. Gimenez,rep,FL,26.0,Republican,,,0,105624038154155,done,
484,484,Maria,Salazar,Maria Elvira Salazar,rep,FL,27.0,Republican,,,0,666196620070127,done,
485,485,Nikema,Williams,Nikema Williams,rep,GA,5.0,Democrat,,,0,1957446251204909,done,
486,486,Carolyn,Bourdeaux,Carolyn Bourdeaux,rep,GA,7.0,Democrat,,,0,861706743991799,done,
487,487,Andrew,Clyde,Andrew S. Clyde,rep,GA,9.0,Republican,,,0,no match,missing,
488,488,Marjorie,Greene,Marjorie Taylor Greene,rep,GA,14.0,Republican,,,0,1809715209318581,missing,
489,489,Kaialiʻi,Kahele,Kaiali’i Kahele,rep,HI,2.0,Democrat,,,0,no match,missing,
490,490,Ashley,Hinson,Ashley Hinson,rep,IA,1.0,Republican,,,0,894096170667732,done,
491,491,Mariannette,Miller-Meeks,Mariannette Miller-Meeks,rep,IA,2.0,Republican,,,0,1802584223384451,done,
492,492,Randy,Feenstra,Randy Feenstra,rep,IA,4.0,Republican,,,0,1628922377207463,done,
493,493,Marie,Newman,Marie Newman,rep,IL,3.0,Democrat,,,0,1495042817173727,done,
494,494,Mary,Miller,Mary E. Miller,rep,IL,15.0,Republican,,,0,no match,missing,
495,495,Frank,Mrvan,Frank J. Mrvan,rep,IN,1.0,Democrat,,,0,no match,missing,
496,496,Victoria,Spartz,Victoria Spartz,rep,IN,5.0,Republican,,,0,1295279420598401,done,
497,497,Tracey,Mann,Tracey Mann,rep,KS,1.0,Republican,,,0,61198206469,done,
498,498,Jacob,LaTurner,Jake LaTurner,rep,KS,2.0,Republican,,,0,572946842722169,done,
499,499,Jake,Auchincloss,Jake Auchincloss,rep,MA,4.0,Democrat,,,0,592250887586314,done,
500,500,Peter,Meijer,Peter Meijer,rep,MI,3.0,Republican,,,0,451900515399684,done,
501,501,Lisa,McClain,Lisa C. McClain,rep,MI,10.0,Republican,,,0,no match,missing,
502,502,Michelle,Fischbach,Michelle Fischbach,rep,MN,7.0,Republican,,,0,107037332686173,done,
503,503,Cori,Bush,Cori Bush,rep,MO,1.0,Democrat,,,0,1000253160054572,done,
504,504,Matthew,Rosendale,Matthew M. Rosendale,rep,MT,0.0,Republican,,,0,no match,missing,
505,505,Deborah,Ross,Deborah K. Ross,rep,NC,2.0,Democrat,,,0,no match,missing,
506,506,Kathy,Manning,Kathy E. Manning,rep,NC,6.0,Democrat,,,0,no match,missing,
507,507,David,Cawthorn,Madison Cawthorn,rep,NC,11.0,Republican,,,0,100233228182981,done,
508,508,Yvette,Herrell,Yvette Herrell,rep,NM,2.0,Republican,,,0,103774718121881,done,
509,509,Teresa,Leger Fernandez,Teresa Leger Fernandez,rep,NM,3.0,Democrat,,,0,301228420816284,done,
510,510,Andrew,Garbarino,Andrew R. Garbarino,rep,NY,2.0,Republican,,,0,197834643693711,missing,
511,511,Nicole,Malliotakis,Nicole Malliotakis,rep,NY,11.0,Republican,,,0,1533092446942704,done,
512,512,Ritchie,Torres,Ritchie Torres,rep,NY,15.0,Democrat,,,0,2142236792490640,done,
513,513,Jamaal,Bowman,Jamaal Bowman,rep,NY,16.0,Democrat,,,0,399366360669553,done,
514,514,Mondaire,Jones,Mondaire Jones,rep,NY,17.0,Democrat,,,0,2382869555319923,done,
515,515,Stephanie,Bice,Stephanie I. Bice,rep,OK,5.0,Republican,,,0,no match,missing,
516,516,Cliff,Bentz,Cliff Bentz,rep,OR,2.0,Republican,,,0,180631442719210,done,
517,517,Nancy,Mace,Nancy Mace,rep,SC,1.0,Republican,,,0,628891490457484,done,
518,518,Diana,Harshbarger,Diana Harshbarger,rep,TN,1.0,Republican,,,0,102728205110465,done,
519,519,Patrick,Fallon,Pat Fallon,rep,TX,4.0,Republican,,,0,105512331492146,done,
520,520,August,Pfluger,August Pfluger,rep,TX,11.0,Republican,,,0,102682681124239,done,
521,521,Ronny,Jackson,Ronny Jackson,rep,TX,13.0,Republican,,,0,101724361319410,done,
522,522,Troy,Nehls,Troy E. Nehls,rep,TX,22.0,Republican,,,0,1431647400421353,done,
523,523,Ernest,Gonzales,Tony Gonzales,rep,TX,23.0,Republican,,,0,2146201085498440,done,
524,524,Beth,Van Duyne,Beth Van Duyne,rep,TX,24.0,Republican,,,0,1558042497785635,done,
525,525,Blake,Moore,Blake D. Moore,rep,UT,1.0,Republican,,,0,no match,missing,
526,526,Clarence,Owens,Burgess Owens,rep,UT,4.0,Republican,,,0,305643856459460,done,
527,527,Robert,Good,Bob Good,rep,VA,5.0,Republican,,,0,115883606515801,done,
528,528,Marilyn,Strickland,Marilyn Strickland,rep,WA,10.0,Democrat,,,0,103987634439727,done,
529,529,Scott,Fitzgerald,Scott Fitzgerald,rep,WI,5.0,Republican,,,0,103935277670393,done,
530,530,Alejandro,Padilla,Alex Padilla,sen,CA,,Democrat,,,0,471134912978464,done,
531,531,Jon,Ossoff,Jon Ossoff,sen,GA,,Democrat,,,0,1336293769761923,done,
532,532,Raphael,Warnock,Raphael G. Warnock,sen,GA,,Democrat,,,0,no match,missing,
533,533,Claudia,Tenney,Claudia Tenney,rep,NY,22.0,Republican,,,0,183020072173458,done,modified
534,534,Julia,Letlow,Julia Letlow,rep,LA,5.0,Republican,,,0,101501768597429,done,
535,535,Troy,Carter,Troy A. Carter,rep,LA,2.0,Democrat,,,0,876319055750124,done,
536,536,Melanie,Stansbury,Melanie A. Stansbury,rep,NM,1.0,Democrat,,,0,no match,missing,
537,537,Jake,Ellzey,Jake Ellzey,rep,TX,6.0,Republican,,,0,512954815727434,done,
