,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched
102,272,Robin,Kelly,Robin L. Kelly,rep,IL,2.0,Democrat,reprobinkelly,Robin Kelly,100045080140134,no ad account,missing
103,274,Cory,Booker,Cory A. Booker,sen,NJ,,Democrat,,,0,36872302227,missing
104,275,Katherine,Clark,Katherine M. Clark,rep,MA,5.0,Democrat,CongresswomanClark,,0,358951317539562,missing
105,277,Alma,Adams,Alma S. Adams,rep,NC,12.0,Democrat,CongresswomanAdams,"Congresswoman Alma S. Adams, PhD",100044794400197,659925804037339,missing
106,278,Gary,Palmer,Gary J. Palmer,rep,AL,6.0,Republican,CongressmanGaryPalmer,Congressman Gary Palmer,100044530758499,238609612987036,missing
107,285,Norma,Torres,Norma J. Torres,rep,CA,35.0,Democrat,RepNormaTorres,,0,324545627570369,missing
108,287,Earl,Carter,"Earl L. ""Buddy"" Carter",rep,GA,1.0,Republican,congressmanbuddycarter,Congressman Buddy Carter,100044233036282,1925027940842417,missing
109,288,Jody,Hice,Jody B. Hice,rep,GA,10.0,Republican,CongressmanJodyHice,,0,122571921086301,missing
110,290,Rick,Allen,Rick W. Allen,rep,GA,12.0,Republican,CongressmanRickAllen,Congressman Rick Allen,100044564190648,1548853772019803,missing
111,294,John,Moolenaar,John R. Moolenaar,rep,MI,4.0,Republican,RepMoolenaar,,0,620769971337937,missing
112,296,Brenda,Lawrence,Brenda L. Lawrence,rep,MI,14.0,Democrat,395759603917487,Rep. Brenda Lawrence,100044327024736,395759603917487,missing
113,300,Lee,Zeldin,Lee M. Zeldin,rep,NY,1.0,Republican,RepLeeZeldin,,0,6817812700,missing
114,301,Kathleen,Rice,Kathleen M. Rice,rep,NY,4.0,Democrat,RepKathleenRice,,0,432815573442336,missing
115,302,Elise,Stefanik,Elise M. Stefanik,rep,NY,21.0,Republican,RepEliseStefanik,Rep. Elise Stefanik,100044381141073,345378512258813,missing
116,304,Brendan,Boyle,Brendan F. Boyle,rep,PA,2.0,Democrat,CongressmanBoyle,,0,516725565030981,missing
117,306,Donald,Beyer,"Donald S. Beyer, Jr.",rep,VA,8.0,Democrat,RepDonBeyer,Congressman Don Beyer,100044424588071,no ad account,missing
118,307,Stacey,Plaskett,Stacey E. Plaskett,rep,VI,0.0,Democrat,repstaceyplaskett,Congresswoman Stacey Plaskett,100050806146320,362717827142514,missing
119,309,Glenn,Grothman,Glenn Grothman,rep,WI,6.0,Republican,RepGrothman,,0,773301386014306,missing
120,310,Alexander,Mooney,Alexander Mooney,rep,WV,2.0,Republican,CongressmanAlexMooney,Congressman Alex Mooney,100044928491860,671413332977763,missing
121,311,Aumua Amata,Radewagen,Aumua Amata Coleman Radewagen,rep,AS,0.0,Republican,aumuaamata,,0,no ad account,missing
122,323,Margaret,Hassan,Margaret Wood Hassan,sen,NH,,Democrat,SenatorHassan,,0,134535726580904,missing
123,325,Bradley,Schneider,Bradley Scott Schneider,rep,IL,10.0,Democrat,CongressmanBradSchneider,Congressman Brad Schneider,100044780869664,401029529980053,missing
124,326,Tom,O’Halleran,Tom O’Halleran,rep,AZ,1.0,Democrat,repohalleran,,0,1342596452479696,missing
125,328,Ro,Khanna,Ro Khanna,rep,CA,17.0,Democrat,RepRoKhanna,Rep. Ro Khanna,100044515176138,317667194946264,missing
126,330,Salud,Carbajal,Salud O. Carbajal,rep,CA,24.0,Democrat,repsaludcarbajal,,0,144410222713433,missing
127,332,J.,Correa,J. Luis Correa,rep,CA,46.0,Democrat,RepLouCorrea,,0,1801742833410767,missing
